Rotation_X,Rotation_Y,Rotation_Z,current_time,Score,State
0.05303992,0.6211659,0.07338858,2025-01-24 14:25:34.399,15,15
0.05860989,0.6190417,0.07535842,2025-01-24 14:25:34.413,15,15
0.0620502,0.618059,0.07654463,2025-01-24 14:25:34.427,15,15
0.06721252,0.6168841,0.07766989,2025-01-24 14:25:34.441,15,15
0.07326987,0.6151983,0.07852895,2025-01-24 14:25:34.455,15,15
0.08045568,0.613755,0.07821974,2025-01-24 14:25:34.469,15,15
0.08896543,0.6129071,0.07695316,2025-01-24 14:25:34.483,15,15
0.09719343,0.610619,0.07660253,2025-01-24 14:25:34.497,15,15
0.1028453,0.6088092,0.07688051,2025-01-24 14:25:34.510,15,15
0.1113933,0.6060893,0.07885399,2025-01-24 14:25:34.525,15,15
0.1197012,0.6024137,0.08235476,2025-01-24 14:25:34.538,15,15
0.1331831,0.5972182,0.08535649,2025-01-24 14:25:34.553,15,15
0.1429182,0.5927208,0.08534058,2025-01-24 14:25:34.566,15,15
0.1504796,0.5875648,0.08737341,2025-01-24 14:25:34.580,15,15
0.158351,0.5835946,0.08748226,2025-01-24 14:25:34.594,15,15
0.163749,0.578411,0.08939516,2025-01-24 14:25:34.607,15,15
0.1690592,0.5748146,0.09081091,2025-01-24 14:25:34.622,15,15
0.1715745,0.5723163,0.0905917,2025-01-24 14:25:34.635,15,15
0.1731197,0.5699409,0.08982003,2025-01-24 14:25:34.648,15,15
0.1749156,0.5675035,0.08790952,2025-01-24 14:25:34.664,15,15
0.1769755,0.5664583,0.08440951,2025-01-24 14:25:34.677,15,15
0.1775623,0.5661855,0.08194742,2025-01-24 14:25:34.690,15,15
0.177415,0.5654163,0.07934166,2025-01-24 14:25:34.704,15,15
0.178201,0.5648289,0.07700498,2025-01-24 14:25:34.719,15,15
0.1777592,0.566407,0.07350148,2025-01-24 14:25:34.733,15,15
0.1799122,0.5650746,0.07183327,2025-01-24 14:25:34.747,15,15
0.1820636,0.5637367,0.07016434,2025-01-24 14:25:34.761,15,15
0.1842134,0.5623934,0.06849457,2025-01-24 14:25:34.776,15,15
0.1781755,0.5726271,0.06024425,2025-01-24 14:25:34.789,15,15
0.1774814,0.5736157,0.05837005,2025-01-24 14:25:34.802,15,15
0.1782768,0.5740579,0.05645965,2025-01-24 14:25:34.816,15,15
0.1789396,0.5742699,0.05363399,2025-01-24 14:25:34.830,15,15
0.1800145,0.5763533,0.05033583,2025-01-24 14:25:34.843,15,15
0.1804035,0.5771936,0.04800125,2025-01-24 14:25:34.858,15,15
0.1763917,0.5805875,0.04668716,2025-01-24 14:25:34.871,15,15
0.175111,0.5816975,0.04445074,2025-01-24 14:25:34.885,15,15
0.174427,0.5827637,0.04193476,2025-01-24 14:25:34.899,15,15
0.1747197,0.5842505,0.03965323,2025-01-24 14:25:34.913,15,15
0.1734398,0.5862858,0.037241,2025-01-24 14:25:34.926,15,15
0.1693687,0.5886464,0.03703647,2025-01-24 14:25:34.941,15,15
0.1644755,0.5909102,0.03642258,2025-01-24 14:25:34.954,15,15
0.1582886,0.5939525,0.03693889,2025-01-24 14:25:34.971,15,15
0.1518685,0.5978171,0.03774625,2025-01-24 14:25:34.983,15,15
0.1443976,0.6009275,0.03861244,2025-01-24 14:25:34.997,15,15
0.1399947,0.6036906,0.03939096,2025-01-24 14:25:35.010,15,15
0.1355525,0.6070569,0.03873934,2025-01-24 14:25:35.025,15,15
0.131401,0.6104612,0.03834351,2025-01-24 14:25:35.038,15,15
0.1264632,0.6144716,0.03728497,2025-01-24 14:25:35.053,15,15
0.1224089,0.6182892,0.03603989,2025-01-24 14:25:35.066,15,15
0.1189511,0.621582,0.0347701,2025-01-24 14:25:35.083,15,15
0.1147522,0.6253763,0.03377529,2025-01-24 14:25:35.095,15,15
0.1106493,0.6285088,0.03293763,2025-01-24 14:25:35.109,15,15
0.1049178,0.6318622,0.03355506,2025-01-24 14:25:35.121,15,15
0.09835378,0.6348616,0.03468729,2025-01-24 14:25:35.136,15,15
0.09225674,0.6384635,0.0358492,2025-01-24 14:25:35.149,15,15
0.08608167,0.6416704,0.03766468,2025-01-24 14:25:35.163,15,15
0.07870899,0.6459462,0.03499951,2025-01-24 14:25:35.177,15,15
0.0730303,0.6498334,0.03441238,2025-01-24 14:25:35.190,15,15
0.0629666,0.6536909,0.03309302,2025-01-24 14:25:35.204,15,15
0.05699017,0.6565518,0.03215918,2025-01-24 14:25:35.218,15,15
0.05102081,0.6597584,0.03163936,2025-01-24 14:25:35.233,15,15
0.04504844,0.6629311,0.03111788,2025-01-24 14:25:35.247,15,15
0.02333527,0.6696549,0.02532582,2025-01-24 14:25:35.260,15,15
0.01446095,0.6733061,0.02441199,2025-01-24 14:25:35.275,15,15
0.006310948,0.6773224,0.02356807,2025-01-24 14:25:35.287,15,15
-0.00317297,0.680448,0.02223275,2025-01-24 14:25:35.302,15,15
-0.01145823,0.6839103,0.02008394,2025-01-24 14:25:35.316,15,15
-0.0197888,0.687194,0.01883388,2025-01-24 14:25:35.330,15,15
-0.02811748,0.6904142,0.0175821,2025-01-24 14:25:35.343,15,15
-0.03314894,0.6940522,0.01518134,2025-01-24 14:25:35.358,15,15
-0.03811473,0.6974686,0.01254079,2025-01-24 14:25:35.372,15,15
-0.0379507,0.7024297,0.006726665,2025-01-24 14:25:35.386,15,15
-0.04246036,0.7057825,0.004546152,2025-01-24 14:25:35.399,15,15
-0.04723359,0.7088634,0.003555944,2025-01-24 14:25:35.414,15,15
-0.05270045,0.711862,0.0008371789,2025-01-24 14:25:35.427,15,15
-0.05797993,0.7132975,-5.926937E-05,2025-01-24 14:25:35.441,15,15
-0.06457403,0.7141942,0.0005753525,2025-01-24 14:25:35.455,15,15
-0.07095772,0.7150358,-0.0003669262,2025-01-24 14:25:35.468,15,15
-0.0764004,0.7168057,-0.002276223,2025-01-24 14:25:35.483,15,15
-0.08002784,0.7174374,-0.003804862,2025-01-24 14:25:35.497,15,15
-0.08558565,0.7193064,-0.00530364,2025-01-24 14:25:35.511,15,15
-0.0862395,0.7175485,-0.006821863,2025-01-24 14:25:35.527,15,15
-0.08781356,0.71561,-0.007167913,2025-01-24 14:25:35.539,15,15
-0.09165157,0.715825,-0.008236632,2025-01-24 14:25:35.553,15,15
-0.09424321,0.7156435,-0.008749522,2025-01-24 14:25:35.566,15,15
-0.09763701,0.7150579,-0.009420753,2025-01-24 14:25:35.580,15,15
-0.1015512,0.7160302,-0.008287035,2025-01-24 14:25:35.594,15,15
-0.1057127,0.7169822,-0.008354142,2025-01-24 14:25:35.611,15,15
-0.1099771,0.7173983,-0.009085018,2025-01-24 14:25:35.622,15,15
-0.1126039,0.7178034,-0.008812618,2025-01-24 14:25:35.635,15,15
-0.1156081,0.7177745,-0.007037874,2025-01-24 14:25:35.649,15,15
-0.1191894,0.7186732,-0.007046279,2025-01-24 14:25:35.664,15,15
-0.1238921,0.7189788,-0.005040709,2025-01-24 14:25:35.677,15,15
-0.1288169,0.7203082,-0.004647065,2025-01-24 14:25:35.692,15,15
-0.1339507,0.7212896,-0.002887383,2025-01-24 14:25:35.705,15,15
-0.137667,0.7219151,-0.001898065,2025-01-24 14:25:35.719,15,15
-0.1405655,0.722335,-0.001347691,2025-01-24 14:25:35.733,15,15
-0.1443346,0.7223776,-0.0003126562,2025-01-24 14:25:35.750,15,15
-0.1469102,0.7214968,0.001109645,2025-01-24 14:25:35.760,15,15
-0.1502907,0.7213472,0.003683724,2025-01-24 14:25:35.776,15,15
-0.1537808,0.7202772,0.005621552,2025-01-24 14:25:35.788,15,15
-0.1568819,0.7186869,0.006473087,2025-01-24 14:25:35.803,15,15
-0.1596067,0.7177104,0.006291538,2025-01-24 14:25:35.816,15,15
-0.1614922,0.7160638,0.005944714,2025-01-24 14:25:35.830,15,15
-0.1646395,0.7154766,0.007857606,2025-01-24 14:25:35.845,15,15
-0.1644916,0.7145745,0.004327737,2025-01-24 14:25:35.858,15,15
-0.1664035,0.7136224,0.003184721,2025-01-24 14:25:35.872,15,15
-0.164421,0.7130914,-0.01076072,2025-01-24 14:25:35.885,15,15
-0.1662907,0.7123774,-0.01286425,2025-01-24 14:25:35.900,15,15
-0.1661718,0.7134262,-0.01894429,2025-01-24 14:25:35.914,15,15
-0.1662941,0.7135923,-0.02383129,2025-01-24 14:25:35.927,15,15
-0.1664403,0.7135786,-0.02784174,2025-01-24 14:25:35.941,15,15
-0.1675648,0.7138045,-0.02919149,2025-01-24 14:25:35.955,15,15
-0.1676646,0.7137861,-0.02984949,2025-01-24 14:25:35.968,15,15
-0.1660576,0.7135797,-0.02678433,2025-01-24 14:25:35.983,15,15
-0.1640953,0.7133241,-0.02768356,2025-01-24 14:25:35.995,15,15
-0.1625065,0.7129599,-0.02878439,2025-01-24 14:25:36.011,15,15
-0.1625493,0.7135829,-0.02922402,2025-01-24 14:25:36.041,15,15
-0.1643021,0.7137021,-0.02797472,2025-01-24 14:25:36.051,15,15
-0.1660499,0.7138656,-0.02786806,2025-01-24 14:25:36.065,15,15
-0.167197,0.7139865,-0.02835997,2025-01-24 14:25:36.078,15,15
-0.1698218,0.7143431,-0.02954967,2025-01-24 14:25:36.093,15,15
-0.1729342,0.7151037,-0.02954136,2025-01-24 14:25:36.106,15,15
-0.1754756,0.7161795,-0.03018526,2025-01-24 14:25:36.124,15,15
-0.1783947,0.7176089,-0.03154594,2025-01-24 14:25:36.134,15,15
-0.1817262,0.7195631,-0.0339931,2025-01-24 14:25:36.149,15,15
-0.1840923,0.7214301,-0.0372097,2025-01-24 14:25:36.162,15,15
-0.1846323,0.7228304,-0.03974003,2025-01-24 14:25:36.177,15,15
-0.1863811,0.7232643,-0.04073867,2025-01-24 14:25:36.190,15,15
-0.1881579,0.7241719,-0.04220825,2025-01-24 14:25:36.205,15,15
